company,color,r,g,b
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-soft-berry,151,65,77
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-passion-flower,155,69,69
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-bare-truth,173,99,88
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-trailblazer,188,80,85
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-mini-45-parisian-red,194,48,65
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-downtown-rose,155,78,67
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-claret,158,66,61
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-sunset-rose,169,111,100
buxom,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-skin-tease,198,135,118
buxom,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-body-con,200,97,89
buxom,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-chocolatte,160,73,64
buxom,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-dolly-doll,183,88,88
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-amber-in-furs,154,104,105
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-earth-dust,155,111,101
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-dancehall-queen,122,56,83
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-damson-jam,144,93,102
byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-fantome,179,72,52
byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-reasonable-doubt,179,72,52
byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-baiser-cosmique,164,55,52
byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-vinyl-thar-desert,192,70,46
byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-red-coma,126,0,18
byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-thar-desert,165,82,63
byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-fire-grace,126,0,18
byredo,/byredo/makeup/lepper/leppestift/byredo-liquid-lipstick-matte-martian-dust,155,38,19
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-103-on-the-edge,165,90,84
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-129-septembre,149,74,66
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-205-ensouled,190,80,71
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-213-stromboli,165,90,84
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-128-commuter,112,68,59
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-104-9am,112,68,59
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-355-deca-dance,112,68,59
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-satin-209-divorce,112,68,59
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-refill-320-attached,247,247,247
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-refill-103-on-the-edge,247,247,247
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-refill-109-reunion,247,247,247
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-matte-refill-129-septembre,247,247,247
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-transported,247,247,247
byredo,/byredo/makeup/lepper/leppestift/byredo-lipstick-on-the-fence,247,247,247
by-terry,/by-terry/makeup/lepper/leppestift/by-terry-hyaluronic-hydra-balm-n5-secret-kiss,129,68,54
by-terry,/by-terry/makeup/lepper/leppestift/by-terry-hyaluronic-hydra-balm-n1-sexy-nude,210,137,115
by-terry,/by-terry/makeup/lepper/leppestift/by-terry-hyaluronic-hydra-balm-n2-nudissimo,239,141,130
by-terry,/by-terry/makeup/lepper/leppestift/by-terry-hyaluronic-hydra-balm-n3-tea-time,206,117,90
