productType,company,brand,color,r,g,b
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-26-sazan-nude,185,123,119
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-01-babe,172,57,86
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-sandwash-pink,170,99,105
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-paris-pink,214,95,83
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-mini-43-sweet-coral,152,69,63
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-afternoon-tea,170,96,80
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-3-downtime,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-3-downtime,163,71,80
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-3-downtime,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-14-claret,146,52,65
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-3-downtime,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-5-afternoon-tea,158,70,70
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-3-downtime,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-1-lunch-date,202,75,89
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-claret,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-claret,127,47,40
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-claret,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-bahama-brown2,149,80,89
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-claret,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-soft-berry,151,65,77
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-paris-pink,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-passion-flower,155,69,69
